ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
639000011,23234375,,,Union Grove,,,,Albyn Grove,,Union Grove,,,,o/s 103,,SW,ES001772,Holburn,Aberdeen,,Aberdeen,,City Centre,,1,UKOS,392988,805587,-2.117499,57.141117,BCT,MKD,OTH,,,,111,2003-07-15T00:00:00.000,2021-08-10T13:46:30.584,5,revise,active
639000012,23234378,,,Union Grove,,,,Holburn Street,,Union Grove,,,,o/s 82,,NE,ES001772,Holburn,Aberdeen,,Aberdeen,,Mannofield,,1,UKOS,393034,805610,-2.11674,57.141324,BCT,MKD,OTH,,,,111,2003-07-15T00:00:00.000,2021-08-10T13:42:05.885,4,revise,active
639000021,23234365,,,Granton Place,,,,Granton Place,,Union Grove,,,,at,,SW,ES001772,Holburn,Aberdeen,,Aberdeen,,City Centre,,1,UKOS,392812,805526,-2.120406,57.140566,BCT,MKD,OTH,,,,111,2003-07-15T00:00:00.000,2021-08-10T13:52:58.914,5,revise,active
639000022,23234369,,,Albyn Grove,,,,Albyn Grove,,Union Grove,,,,at,,NE,ES001772,Holburn,Aberdeen,,Aberdeen,,Mannofield,,0,UKOS,392898,805574,-2.118986,57.140999,BCT,MKD,OTH,,,,111,2003-07-15T00:00:00.000,2021-08-10T13:48:57.474,5,revise,active
639000031,23234354,,,Claremont Place,,,,Claremont Place,,Union Grove,,,,at,,SW,ES001772,Holburn,Aberdeen,,Aberdeen,,,,0,UKOS,392612,805428,-2.123707,57.139682,BCT,MKD,OTH,,,,111,2003-07-15T00:00:00.000,2021-08-10T16:16:05.363,6,revise,active
639000032,23234362,,,Claremont Place,,,,Claremont Place,,Union Grove,,,,opp,,NE,ES001772,Holburn,Aberdeen,,Aberdeen,,,,0,UKOS,392676,805470,-2.122651,57.140061,BCT,MKD,OTH,,,,111,2003-07-15T00:00:00.000,2021-08-10T16:21:23.578,4,revise,active
639000041,23234327,,,Brighton Place,,,,Brighton Place,,Union Grove,,,,at,,SW,ES002536,Mannofield,Aberdeen,,Aberdeen,,City Centre,,0,UKOS,392353,805331,-2.127982,57.138807,BCT,MKD,OTH,,,,111,2003-07-15T00:00:00.000,2021-08-10T18:15:22.030,6,revise,active
639000042,23234347,,,St Swithin Street,,,,St Swithin Street,,Union Grove,,,,at,,NE,ES002536,Mannofield,Aberdeen,,Aberdeen,,Mannofield,,0,UKOS,392510,805401,-2.125392,57.139438,BCT,MKD,OTH,,,,111,2003-07-15T00:00:00.000,2021-08-10T16:29:33.401,7,revise,active
639000051,23234295,,,Forest Avenue,,,,Forest Avenue,,Cromwell Road,,,,at,,SW,ES002536,Mannofield,Aberdeen,,Aberdeen,,Mannofield,,0,UKOS,392152,805255,-2.131302,57.138121,BCT,MKD,OTH,,,,111,2003-07-15T00:00:00.000,2021-08-10T18:45:30.117,5,revise,active
639000052,23234325,,,Union Grove Lane,,,,Union Grove Lane,,Union Grove,,,,at,,NE,ES002536,Mannofield,Aberdeen,,Aberdeen,,Mannofield,,0,UKOS,392237,805299,-2.129899,57.138517,BCT,MKD,OTH,,,,111,2003-07-15T00:00:00.000,2021-08-10T18:42:54.768,7,revise,active
639000061,23234282,,,Burns Road,,,,Burns Road,,Cromwell Road,,,,at,,SW,ES002536,Mannofield,Aberdeen,,Aberdeen,,,,0,UKOS,391963,805183,-2.134421,57.137471,BCT,MKD,OTH,,,,111,2003-07-15T00:00:00.000,2021-08-10T18:51:44.465,8,revise,active
